1,FO36 4551 2861 0509 03,7284.45,Ingreso,2023-12-19
2,KW97 KCQF D6UR XUTJ GOMU 22DV DSHZ KE,-777.95,Retiro,2023-12-19
3,FR91 6836 5508 06Y9 WCOM LC9K W56,3294.82,Ingreso,2023-12-19
4,CY56 8076 6729 IJMD VYWD PQKF RYOQ,-7720.22,Retiro,2023-12-19
5,FR36 3933 6479 24JN LRYW 2SQK T00,3140.65,Ingreso,2023-12-19
6,IT73 I613 1626 8749 N2X3 BDR7 PWL,5573.42,Ingreso,2023-12-19
7,LB39 1798 2HN7 OBF5 ANR5 AGFD IZHC,4376.9,Ingreso,2023-12-19
8,FR93 3630 1902 81FV XGSJ ZUBK W97,2828.16,Ingreso,2023-12-19
9,FR81 2438 2851 31NN MFUL 4GTJ F60,6125.52,Ingreso,2023-12-19
10,RS15 6520 1858 3504 3254 67,6789.44,Ingreso,2023-12-19
11,HR77 8573 4928 6442 5929 6,-4954.77,Retiro,2023-12-19
12,VG54 PMYT 3734 7873 9035 1295,9685.07,Ingreso,2023-12-19
13,FR74 3830 2122 98ZU XMMH 0X4Q 188,-6768.11,Retiro,2023-12-19
14,FR64 5099 3713 05AW N5SF FDCV 403,3244.24,Ingreso,2023-12-19
15,MC54 5148 9001 41EL N5NV BMM5 O23,-136.75,Retiro,2023-12-19
16,FR20 3949 6464 65S2 TYMY I8AD L20,-2563.01,Retiro,2023-12-19
17,IT44 K737 2803 628G WQVX GENV SFA,843.66,Ingreso,2023-12-19
18,FR64 2152 8258 85YD IGGN KBY0 045,-5324.8,Retiro,2023-12-19
19,MC08 0554 3668 35JC 6ROP NACQ B76,4914.99,Ingreso,2023-12-19
20,ES35 8502 3294 2334 8854 0097,-1038.01,Retiro,2023-12-19
21,CZ84 1766 2816 6317 3108 8861,-4854.75,Retiro,2023-12-19
22,LI73 7666 7AP4 JZCL 4QTB G,-8337.94,Retiro,2023-12-19
23,EE59 1956 4574 6827 9977,3664.34,Ingreso,2023-12-19
24,IL93 9489 7498 5332 1418 423,-4255.21,Retiro,2023-12-19
25,ME05 3887 3743 8876 3562 29,1055.19,Ingreso,2023-12-19
26,PS46 IRCF XGDK FWUH X03O GKOR BVX9 V,1259.85,Ingreso,2023-12-19
27,PT51 8927 8490 7074 1981 2290 9,5502.27,Ingreso,2023-12-19
28,AD68 6311 1771 8BFI 7L8O HIO8,-9510.69,Retiro,2023-12-19
29,CR86 3320 8926 7291 8217 9,-2911.79,Retiro,2023-12-19
30,TN44 0472 7251 9202 1828 9187,6235.5,Ingreso,2023-12-19
31,FR39 5139 7325 20HQ TLNU F2OL 043,-9443.03,Retiro,2023-12-19
32,IT60 N637 8753 214L SW2H 7NAU XAQ,-5468.48,Retiro,2023-12-19
33,FR90 7556 6245 54JW BHLN XNJ3 A96,4784.85,Ingreso,2023-12-19
34,FI71 5303 0791 1412 25,2221.43,Ingreso,2023-12-19
35,HU49 4297 6593 4059 4151 1746 0051,-4282.11,Retiro,2023-12-19
36,AD91 5957 1842 7OGL G0WH 1DWZ,-1739.3,Retiro,2023-12-19
37,MK42 182V BQ6G 52TK Z72,-4962.3,Retiro,2023-12-19
38,AE32 0174 3143 2099 7317 044,6406.5,Ingreso,2023-12-19
39,EE73 2834 5125 3553 9636,1682.43,Ingreso,2023-12-19
40,DK58 6451 2735 7380 28,-8071.72,Retiro,2023-12-19
41,PT84 9755 2884 6482 5989 9072 7,3562.52,Ingreso,2023-12-19
42,IS94 7009 8546 8707 5127 8306 31,74.46,Ingreso,2023-12-19
43,SM57 S142 4514 663E O79V QGPH HRB,5117.71,Ingreso,2023-12-19
44,IE68 EGTU 7756 5610 9962 91,-2296.89,Retiro,2023-12-19
45,HR25 9476 1072 4230 5968 1,4898.65,Ingreso,2023-12-19
46,FR54 4632 8519 7199 MOQZ 6UZK V68,6535.21,Ingreso,2023-12-19
47,ES47 1975 4819 3126 1880 3327,-7567.95,Retiro,2023-12-19
48,FR73 0080 5205 48BT Q6AT EV6R R45,-7207.55,Retiro,2023-12-19
49,FR86 2730 3401 6226 PDFO NIIP D33,3393.28,Ingreso,2023-12-19
50,KZ51 096Z RXUK HSIF EXFM,-125.1,Retiro,2023-12-19
51,FO88 9071 9312 8258 76,-4110.48,Retiro,2023-12-19
52,FR20 7351 7661 242O FX21 WVGC U51,-4534.74,Retiro,2023-12-19
53,MK62 973J 73WV JI5Y X09,1657.05,Ingreso,2023-12-19
54,DO90 QVNM 7628 4972 2840 0525 6390,-6146.66,Retiro,2023-12-19
55,FO28 1819 4855 2467 01,-9470.66,Retiro,2023-12-19
56,PT59 4269 7045 3448 9238 7697 9,-9116.33,Retiro,2023-12-19
57,IE47 RFHK 8178 8081 3696 89,-9060.67,Retiro,2023-12-19
58,AT81 7213 7580 8544 6677,4944.46,Ingreso,2023-12-19
59,ME42 7237 8017 2619 9570 79,-2751.55,Retiro,2023-12-19
60,PS64 UVLN RA8U 67XE ABXO I2HS XAVO I,6018.98,Ingreso,2023-12-19
61,MR19 2127 9128 8488 3412 3818 563,-4115.38,Retiro,2023-12-19
62,HU56 3247 5781 6690 1016 6115 5216,-3974.95,Retiro,2023-12-19
63,GB88 PCRE 1820 4361 6315 68,1281.36,Ingreso,2023-12-19
64,AL56 6862 2129 R4ML VV1K HNVB GLUT,6641.86,Ingreso,2023-12-19
65,MT34 EWMB 2462 7IWT PWBD TVPK RBU0 SRL,67.92,Ingreso,2023-12-19
66,FR91 3624 5708 72UZ Z4W9 DBYV N38,-8175.5,Retiro,2023-12-19
